timestamp,context,years_bucket,relationship,traits_raw,traits_list,traits_text,num_traits,num_words,low_confidence,spontaneity_raw,spontaneity_z,spontaneity_sim_left,spontaneity_sim_right,risk_raw,risk_z,risk_sim_left,risk_sim_right,ambition_raw,ambition_z,ambition_sim_left,ambition_sim_right,creativity_raw,creativity_z,creativity_sim_left,creativity_sim_right,reliability_raw,reliability_z,reliability_sim_left,reliability_sim_right
2025-11-17 00:00:27.853,Abroad,1-3,Close friends,"Reliable, personable, easygoing","['Reliable', 'personable', 'easygoing']","Reliable, personable, easygoing",3,3,False,0.08638163,-0.35481223,0.20061032,0.28699195,0.09431982,-0.040307067,0.17992622,0.27424604,-0.040934056,-0.5155361,0.3354048,0.29447076,0.038048416,-1.0772437,0.16499984,0.20304826,0.104102224,1.4416574,0.26762596,0.37172818
2025-11-17 03:10:46.665,Northwestern,1-3,Hung out 1–1 a decent amount,"Reflective, outgoing,  expressive","['Reflective', 'outgoing', 'expressive']","Reflective, outgoing, expressive",3,3,False,0.056903303,-0.97646564,0.26355842,0.32046172,0.08059558,-0.39335012,0.17966917,0.26026475,0.0016463995,0.09823485,0.30601493,0.30766132,0.061050326,-0.70148915,0.23304641,0.29409674,0.06540385,0.38938743,0.23374331,0.29914716
2025-11-17 10:36:19.640,Northwestern,1-3,Hung out 1–1 a decent amount,"Forward thinking, energetic, creative ","['Forward thinking', 'energetic', 'creative']","Forward thinking, energetic, creative",3,4,False,0.14201684,0.81845045,0.23791702,0.37993386,0.11832607,0.577231,0.19974524,0.3180713,0.119948804,1.8034911,0.26914367,0.38909248,0.17479347,1.1565957,0.22635318,0.40114665,0.0032818764,-1.2998073,0.20080304,0.20408492
2025-11-17 13:18:44.421,Northwestern,1-3,Close friends,"Supportive, smiley, conversational, ","['Supportive', 'smiley', 'conversational']","Supportive, smiley, conversational",3,3,False,0.05718784,-0.9704652,0.16843626,0.2256241,0.0653352,-0.78590906,0.14222631,0.20756151,-0.10908987,-1.4979601,0.28849125,0.17940138,0.036070585,-1.1095531,0.14663383,0.18270442,0.08340989,0.8790002,0.18506472,0.2684746
2025-11-17 14:27:25.268,Northwestern,<1,Same large friend group / teammates / coworkers,"big brother, golden retriever, dependable, self-assured","['big brother', 'golden retriever', 'dependable', 'self-assured']","big brother, golden retriever, dependable, self-assured",4,6,False,0.05812359,-0.95073164,0.1449723,0.20309588,0.0650135,-0.7941845,0.15773831,0.22275181,0.00019593537,0.0773273,0.19513874,0.19533467,0.076302595,-0.4523312,0.10697993,0.18328252,0.12894516,2.1171763,0.17714606,0.30609122
2025-11-17 15:55:59.532,Wisconsin,4-6,Close friends,"Deep, compassionate, loyal, ambitious, intelligent ","['Deep', 'compassionate', 'loyal', 'ambitious', 'intelligent']","Deep, compassionate, loyal, ambitious, intelligent",5,5,False,0.08496547,-0.38467693,0.12569049,0.21065596,0.09594804,0.0015773547,0.13774724,0.23369528,-0.019124672,-0.20116733,0.24676085,0.22763617,0.12305093,0.3113401,0.07445848,0.19750941,0.06994252,0.51280105,0.17510702,0.24504954
2025-11-17 18:20:25.617,Wisconsin,1-3,Hung out 1–1 a decent amount,"Ambitious, approachable, mindful, creative ","['Ambitious', 'approachable', 'mindful', 'creative']","Ambitious, approachable, mindful, creative",4,4,False,0.118584156,0.32429045,0.23562494,0.3542091,0.15453827,1.5087558,0.17371717,0.32825544,0.121411175,1.8245703,0.29445666,0.41586784,0.2169787,1.8457252,0.17683166,0.39381036,0.033373043,-0.48158085,0.21720581,0.25057885
2025-11-17 20:48:06.274,Home,7+,Close friends,"insightful, curious, determined, independent, logical ","['insightful', 'curious', 'determined', 'independent', 'logical']","insightful, curious, determined, independent, logical",5,5,False,0.12270562,0.41120598,0.23158832,0.35429394,0.082207635,-0.3518816,0.22437994,0.30658758,-0.0045057833,0.009554926,0.3046008,0.30009502,0.14619912,0.6894843,0.19756894,0.34376806,0.03300363,-0.49162582,0.28085813,0.31386176
2025-11-17 20:48:23.427,Home,7+,Hung out 1–1 a decent amount,"Positive vibes, laid back, grounded, open, communicative","['Positive vibes', 'laid back', 'grounded', 'open', 'communicative']","Positive vibes, laid back, grounded, open, communicative",5,7,False,0.06335077,-0.8404983,0.18220451,0.24555528,0.062394664,-0.8615516,0.14312181,0.20551647,-0.069425285,-0.9262196,0.29976216,0.23033687,0.019287452,-1.383719,0.19587028,0.21515773,0.09425278,1.1738355,0.14229405,0.23654683
2025-11-17 20:54:20.995,Home,7+,Close friends,"Sincere, trustworthy, intelligent, personable ","['Sincere', 'trustworthy', 'intelligent', 'personable']","Sincere, trustworthy, intelligent, personable",4,4,False,0.062714875,-0.85390836,0.11807667,0.18079154,0.06873801,-0.69837487,0.13790825,0.20664626,-0.04259178,-0.5394312,0.23551604,0.19292426,0.104654856,0.0108256005,0.09104117,0.19569603,0.10375236,1.432144,0.17951326,0.28326562
2025-11-17 21:08:07.454,Home,7+,Hung out 1–1 a decent amount,"Kind, helpful, introspective, musical, creative ","['Kind', 'helpful', 'introspective', 'musical', 'creative']","Kind, helpful, introspective, musical, creative",5,5,False,0.12095402,0.37426734,0.15541999,0.276374,0.090989515,-0.12597603,0.1291186,0.22010812,-0.030289099,-0.36209565,0.24914518,0.21885608,0.12954812,0.41747686,0.18135332,0.31090143,0.060716063,0.2619191,0.14767922,0.20839529
2025-11-17 21:12:25.706,Northwestern,1-3,Hung out 1–1 a decent amount,"Hardworking, vibes, artistic","['Hardworking', 'vibes', 'artistic']","Hardworking, vibes, artistic",3,3,False,0.098561555,-0.09795598,0.2135677,0.31212926,0.12358643,0.71254885,0.1385016,0.26208803,0.08695611,1.3279219,0.29465935,0.38161546,0.18766369,1.3668411,0.17740522,0.3650689,0.06851974,0.47411346,0.18091507,0.24943481
2025-11-18 04:12:00.797,Wisconsin,4-6,Close friends,"introspective, passionate, resilient, creative","['introspective', 'passionate', 'resilient', 'creative']","introspective, passionate, resilient, creative",4,4,False,0.16608177,1.3259435,0.17744084,0.3435226,0.15246212,1.4553487,0.18837205,0.34083417,0.032401025,0.5415438,0.31846008,0.3508611,0.21515533,1.815939,0.16226703,0.37742236,0.06827985,0.46759036,0.18891443,0.25719428
2025-11-18 10:17:09.990,Northwestern,1-3,Acquaintances,"Kind, funny, smart, considerate ","['Kind', 'funny', 'smart', 'considerate']","Kind, funny, smart, considerate",4,4,False,0.079210415,-0.5060423,0.16073044,0.23994085,0.031870663,-1.6467526,0.18722601,0.21909668,-0.071092665,-0.95025384,0.23957314,0.16848047,0.06431481,-0.6481612,0.17122765,0.23554246,0.041064188,-0.27244645,0.22586744,0.26693162
2025-11-18 10:46:48.895,Home,7+,Hung out 1–1 a decent amount,"passionate, driven, chill, chaotic","['passionate', 'driven', 'chill', 'chaotic']","passionate, driven, chill, chaotic",4,4,False,0.16600113,1.3242427,0.22167249,0.38767362,0.15706003,1.5736254,0.15914369,0.3162037,0.02047515,0.36963966,0.28595382,0.30642897,0.066501126,-0.612446,0.22821955,0.29472068,0.00094020367,-1.363481,0.23602551,0.23696572
2025-11-18 15:50:12.564,Northwestern,1-3,Same large friend group / teammates / coworkers,"Chill, Friendly, Vibe","['Chill', 'Friendly', 'Vibe']","Chill, Friendly, Vibe",3,3,False,0.12297229,0.4168295,0.11610427,0.23907655,0.06648506,-0.75632995,0.14224002,0.20872508,-0.12517545,-1.7298238,0.25120088,0.12602544,0.04190752,-1.0142021,0.1418903,0.18379782,0.057001084,0.16090296,0.16063814,0.21763922
2025-11-22 10:53:10.759,Wisconsin,1-3,Same large friend group / teammates / coworkers,"Welcoming/warm, conversationalist, deep","['Welcoming/warm', 'conversationalist', 'deep']","Welcoming/warm, conversationalist, deep",3,3,False,0.06959384,-0.7088414,0.11630849,0.18590233,0.05305642,-1.1017691,0.13687293,0.18992935,-0.0881591,-1.1962559,0.23958609,0.15142699,-0.024301082,-2.0957725,0.15492477,0.13062368,0.021211043,-0.8122849,0.124860495,0.14607154
2025-11-23 11:51:09.080,Wisconsin,4-6,Close friends,"Curious, OpenMinded, Hopeful","['Curious', 'OpenMinded', 'Hopeful']","Curious, OpenMinded, Hopeful",3,3,False,0.118086174,0.31378874,0.18135886,0.29944503,0.08231938,-0.3490071,0.2239117,0.30623108,0.031638592,0.5305538,0.23656633,0.26820493,0.1654536,1.0040215,0.1545117,0.3199653,-0.00067579746,-1.4074227,0.2246039,0.22392811
2025-11-24 15:45:31.509,Northwestern,4-6,Close friends,"sonder, introspective, a precarious balance between overthinking and giving too little fucks, a selfless and true friend. ","['sonder', 'introspective', 'a precarious balance between overthinking and giving too little fucks', 'a selfless and true friend']","sonder, introspective, a precarious balance between overthinking and giving too little fucks, a selfless and true friend",4,17,False,0.11572208,0.26393363,0.08723488,0.20295696,0.04694912,-1.2588736,0.13662732,0.18357643,-0.05641277,-0.7386523,0.22773585,0.17132308,0.018222436,-1.4011168,0.12711161,0.14533405,0.061025426,0.27033117,0.13189852,0.19292395
2025-12-18 17:37:56.379,Wisconsin,1-3,Same large friend group / teammates / coworkers,"Artsy, down-to-earth, engaging ","['Artsy', 'down-to-earth', 'engaging']","Artsy, down-to-earth, engaging",3,3,False,0.12965122,0.5576781,0.20267162,0.33232284,0.11637384,0.5270117,0.15678471,0.27315855,-0.0006096661,0.06571505,0.28814915,0.28753948,0.127183,0.37884086,0.20942946,0.33661246,0.0024751425,-1.3217436,0.18806416,0.1905393
2025-12-18 18:08:23.280,Wisconsin,4-6,Close friends,"Loyal, introspective, enthusiastic ","['Loyal', 'introspective', 'enthusiastic']","Loyal, introspective, enthusiastic",3,3,False,0.12246141,0.40605584,0.18722168,0.30968308,0.11627862,0.5245623,0.20064873,0.31692734,-0.002087772,0.04440907,0.3236983,0.32161054,0.07299414,-0.5063774,0.18063807,0.25363222,0.09561437,1.2108594,0.21062475,0.30623913
2025-12-18 23:09:35.047,Wisconsin,4-6,Hung out 1–1 a decent amount,"Passionate, talented, caring","['Passionate', 'talented', 'caring']","Passionate, talented, caring",3,3,False,0.09591113,-0.15384944,0.16452442,0.26043555,0.11564404,0.50823826,0.16869172,0.28433576,0.046393752,0.74324036,0.28526738,0.33166113,0.19474417,1.4825064,0.123069644,0.3178138,0.084707394,0.91428137,0.16717874,0.25188613
2026-01-04 18:49:24.837,Home,7+,Close friends,"Ambitious, self-reflective, busybody, musician ","['Ambitious', 'self-reflective', 'busybody', 'musician']","Ambitious, self-reflective, busybody, musician",4,4,False,0.07186264,-0.66099584,0.19477776,0.2666404,0.119566165,0.6091313,0.11194528,0.23151144,0.088011235,1.3431307,0.28683227,0.3748435,0.13375196,0.48614997,0.118678205,0.25243017,0.024624899,-0.71945673,0.16551602,0.19014092
