timestamp,context,years_bucket,relationship,traits_raw,traits_list,traits_text,spontaneity_raw,sim_planned_mean,sim_spontaneous_mean,spontaneity_score,num_traits,num_words,low_confidence
2025-11-17 20:54:20.995,Home,7+,Close friends,"Sincere, trustworthy, intelligent, personable ","['Sincere', 'trustworthy', 'intelligent', 'personable']","Sincere, trustworthy, intelligent, personable",0.06271489,0.11807667,0.18079156,-0.8539079,4,4,False
2025-11-17 21:08:07.454,Home,7+,Hung out 1–1 a decent amount,"Kind, helpful, introspective, musical, creative ","['Kind', 'helpful', 'introspective', 'musical', 'creative']","Kind, helpful, introspective, musical, creative",0.12095402,0.15541996,0.27637398,0.37426728,5,5,False
2025-11-17 21:12:25.706,Northwestern,1-3,Hung out 1–1 a decent amount,"Hardworking, vibes, artistic","['Hardworking', 'vibes', 'artistic']","Hardworking, vibes, artistic",0.098561555,0.21356773,0.3121293,-0.097955965,3,3,False
2025-11-18 04:12:00.797,Wisconsin,4-6,Close friends,"introspective, passionate, resilient, creative","['introspective', 'passionate', 'resilient', 'creative']","introspective, passionate, resilient, creative",0.16608177,0.17744084,0.3435226,1.3259432,4,4,False
2025-11-18 10:17:09.990,Northwestern,1-3,Acquaintances,"Kind, funny, smart, considerate ","['Kind', 'funny', 'smart', 'considerate']","Kind, funny, smart, considerate",0.07921046,0.16073044,0.2399409,-0.5060413,4,4,False
2025-11-18 10:46:48.895,Home,7+,Hung out 1–1 a decent amount,"passionate, driven, chill, chaotic","['passionate', 'driven', 'chill', 'chaotic']","passionate, driven, chill, chaotic",0.1660011,0.22167252,0.38767362,1.3242419,4,4,False
2025-11-18 15:50:12.564,Northwestern,1-3,Same large friend group / teammates / coworkers,"Chill, Friendly, Vibe","['Chill', 'Friendly', 'Vibe']","Chill, Friendly, Vibe",0.12297227,0.11610428,0.23907655,0.4168291,3,3,False
2025-11-22 10:53:10.759,Wisconsin,1-3,Same large friend group / teammates / coworkers,"Welcoming/warm, conversationalist, deep","['Welcoming/warm', 'conversationalist', 'deep']","Welcoming/warm, conversationalist, deep",0.06959386,0.116308495,0.18590236,-0.7088408,3,3,False
2025-11-23 11:51:09.080,Wisconsin,4-6,Close friends,"Curious, OpenMinded, Hopeful","['Curious', 'OpenMinded', 'Hopeful']","Curious, OpenMinded, Hopeful",0.118086174,0.18135886,0.29944503,0.3137887,3,3,False
2025-11-24 15:45:31.509,Northwestern,4-6,Close friends,"sonder, introspective, a precarious balance between overthinking and giving too little fucks, a selfless and true friend. ","['sonder', 'introspective', 'a precarious balance between overthinking and giving too little fucks', 'a selfless and true friend']","sonder, introspective, a precarious balance between overthinking and giving too little fucks, a selfless and true friend",0.11572208,0.08723488,0.20295696,0.2639336,4,17,False
2025-12-18 17:37:56.379,Wisconsin,1-3,Same large friend group / teammates / coworkers,"Artsy, down-to-earth, engaging ","['Artsy', 'down-to-earth', 'engaging']","Artsy, down-to-earth, engaging",0.12965125,0.20267162,0.33232287,0.55767864,3,3,False
2025-12-18 18:08:23.280,Wisconsin,4-6,Close friends,"Loyal, introspective, enthusiastic ","['Loyal', 'introspective', 'enthusiastic']","Loyal, introspective, enthusiastic",0.12246141,0.18722168,0.30968308,0.40605578,3,3,False
2025-12-18 23:09:35.047,Wisconsin,4-6,Hung out 1–1 a decent amount,"Passionate, talented, caring","['Passionate', 'talented', 'caring']","Passionate, talented, caring",0.095911145,0.1645244,0.26043555,-0.15384911,3,3,False
2026-01-04 18:49:24.837,Home,7+,Close friends,"Ambitious, self-reflective, busybody, musician ","['Ambitious', 'self-reflective', 'busybody', 'musician']","Ambitious, self-reflective, busybody, musician",0.07186264,0.19477776,0.2666404,-0.6609957,4,4,False
